"","Year","Control","Number"
"1","1915-1916","Public 2-year",19
"2","1921-1922","Public 2-year",70
"3","1925-1926","Public 2-year",136
"4","1929-1930","Public 2-year",178
"5","1933-1934","Public 2-year",219
"6","1938-1939","Public 2-year",258
"7","1947-1948","Public 2-year",328
"8","1952-1953","Public 2-year",327
"9","1956-1957","Public 2-year",377
"10","1960-1961","Public 2-year",405
"11","1964-1965","Public 2-year",452
"12","1968-1969","Public 2-year",739
"13","1972-1973","Public 2-year",910
"14","1976-1977","Public 2-year",905
"15","1980-1981","Public 2-year",945
"16","1984-1985","Public 2-year",935
"17","1988-1989","Public 2-year",984
"18","1992-1993","Public 2-year",1024
"19","1996-1997","Public 2-year",1088
"20","1998-1999","Public 2-year",1069
"21","2000-2001","Public 2-year",1076
"22","2004-2005","Public 2-year",1061
"23","2010-2011","Public 2-year",978
"24","2015-2016","Public 2-year",910
"25","2020-2021","Public 2-year",835
"26","1915-1916","Private 2-year",55
"27","1921-1922","Private 2-year",137
"28","1925-1926","Private 2-year",189
"29","1929-1930","Private 2-year",258
"30","1933-1934","Private 2-year",302
"31","1938-1939","Private 2-year",317
"32","1947-1948","Private 2-year",322
"33","1952-1953","Private 2-year",267
"34","1956-1957","Private 2-year",275
"35","1960-1961","Private 2-year",273
"36","1964-1965","Private 2-year",267
"37","1968-1969","Private 2-year",254
"38","1972-1973","Private 2-year",231
"39","1976-1977","Private 2-year",188
"40","1980-1981","Private 2-year",182
"41","1984-1985","Private 2-year",186
"42","1988-1989","Private 2-year",180
"43","1992-1993","Private 2-year",179
"44","1996-1997","Private 2-year",184
"45","1998-1999","Private 2-year",164
"46","2000-2001","Private 2-year",144
"47","2004-2005","Private 2-year",112
"48","2010-2011","Private 2-year",87
"49","2015-2016","Private 2-year",107
"50","2020-2021","Private 2-year",85
