"","Year","4 year","2 year"
"1","1958",2959,491
"2","1959",3153,563
"3","1960",3347,636
"4","1961",3541,708
"5","1963",3929,851
"6","1965",4748,1173
"7","1968",5721,1792
"8","1969",5938,2067
"9","1970",6262,2319
"10","1971",6369,2579
"11","1972",6459,2756
"12","1974",6820,3404
"13","1977",7243,4043
"14","1980",7571,4527
"15","1983",7741,4723
"16","1986",7824,4680
"17","1990",8529,5181
"18","1995",NA,NA
"19","1998",NA,NA
"20","2002",NA,NA
"21","2006",NA,NA
"22","2009",NA,NA
"23","2013",NA,NA
"24","2016",NA,NA
"25","1931",1069,85
"26","1933",977,79
"27","1935",1106,103
"28","1937",1229,121
"29","1939",1344,150
"30","1941",1262,141
"31","1943",1067,89
"32","1945",1520,157
"33","1947",2116,222
"34","1948",2193,211
"35","1949",2215,229
"36","1950",2064,218
"37","1951",1902,200
"38","1952",1896,239
"39","1953",1973,258
"40","1954",2164,282
"41","1955",2345,308
"42","1956",2571,348
"43","1957",2765,420
"44","1962",3735,779
"45","1964",4291,989
"46","1966",5064,1326
"47","1967",5399,1513
"48","1973",6590,3012
"49","1975",7215,3970
"50","1976",7129,3884
"51","1978",7231,4029
"52","1979",7353,4217
"53","1981",7655,4717
"54","1982",7654,4772
"55","1984",7711,4531
"56","1985",7716,4531
"57","1987",7990,4776
"58","1988",8180,4875
"59","1989",8387,5151
