"","Year","Type","WLEnrollment"
"2","1959 Fall","4 year",478494
"3","1960 Fall","4 year",558755
"5","1963 Fall","4 year",728892
"6","1965 Fall","4 year",922878
"7","1968 Fall","4 year",990542
"9","1970 Fall","4 year",952333
"11","1972 Fall","4 year",855831
"12","1974 Fall","4 year",757748
"13","1977 Fall","4 year",742177
"14","1980 Fall","4 year",737639
"15","1983 Fall","4 year",778101
"16","1986 Fall","4 year",808486
"17","1990 Fall","4 year",922030
"18","1995 Fall","4 year",866980
"19","1998 Fall","4 year",910737
"20","2002 Fall","4 year",1021860
"21","2006 Fall","4 year",1170232
"22","2009 Fall","4 year",1242994
"23","2013 Fall","4 year",1189790
"24","2016 Fall","4 year",1105173
"27","1959 Fall","2 year",44609
"28","1960 Fall","2 year",52099
"30","1963 Fall","2 year",72737
"31","1965 Fall","2 year",109019
"32","1968 Fall","2 year",129852
"34","1970 Fall","2 year",155154
"36","1972 Fall","2 year",151878
"37","1974 Fall","2 year",154713
"38","1977 Fall","2 year",163464
"39","1980 Fall","2 year",162716
"40","1983 Fall","2 year",163023
"41","1986 Fall","2 year",161683
"42","1990 Fall","2 year",227625
"43","1995 Fall","2 year",233123
"44","1998 Fall","2 year",243096
"45","2002 Fall","2 year",337304
"46","2006 Fall","2 year",364980
"47","2009 Fall","2 year",393050
"48","2013 Fall","2 year",343245
"49","2016 Fall","2 year",288741
