"","Control","Year","Enrollment"
"1","Public 4-year","1931",523
"2","Public 2-year","1931",59
"3","Private 4-year","1931",546
"4","Private 2-year","1931",26
"5","Public 4-year","1933",474
"6","Public 2-year","1933",56
"7","Private 4-year","1933",503
"8","Private 2-year","1933",23
"9","Public 4-year","1935",544
"10","Public 2-year","1935",71
"11","Private 4-year","1935",562
"12","Private 2-year","1935",32
"13","Public 4-year","1937",607
"14","Public 2-year","1937",82
"15","Private 4-year","1937",622
"16","Private 2-year","1937",39
"17","Public 4-year","1939",689
"18","Public 2-year","1939",108
"19","Private 4-year","1939",655
"20","Private 2-year","1939",42
"21","Public 4-year","1941",631
"22","Public 2-year","1941",101
"23","Private 4-year","1941",631
"24","Private 2-year","1941",40
"25","Public 4-year","1943",511
"26","Public 2-year","1943",61
"27","Private 4-year","1943",556
"28","Private 2-year","1943",28
"29","Public 4-year","1945",724
"30","Public 2-year","1945",110
"31","Private 4-year","1945",796
"32","Private 2-year","1945",47
"33","Public 4-year","1947",989
"34","Public 2-year","1947",163
"35","Private 4-year","1947",1127
"36","Private 2-year","1947",59
"37","Public 4-year","1948",1032
"38","Public 2-year","1948",154
"39","Private 4-year","1948",1161
"40","Private 2-year","1948",57
"41","Public 4-year","1949",1036
"42","Public 2-year","1949",171
"43","Private 4-year","1949",1179
"44","Private 2-year","1949",58
"45","Public 4-year","1950",972
"46","Public 2-year","1950",168
"47","Private 4-year","1950",1092
"48","Private 2-year","1950",50
"49","Public 4-year","1951",882
"50","Public 2-year","1951",156
"51","Private 4-year","1951",1020
"52","Private 2-year","1951",44
"53","Public 4-year","1952",910
"54","Public 2-year","1952",192
"55","Private 4-year","1952",986
"56","Private 2-year","1952",47
"57","Public 4-year","1953",976
"58","Public 2-year","1953",210
"59","Private 4-year","1953",997
"60","Private 2-year","1953",48
"61","Public 4-year","1954",1112
"62","Public 2-year","1954",241
"63","Private 4-year","1954",1052
"64","Private 2-year","1954",41
"65","Public 4-year","1955",1211
"66","Public 2-year","1955",265
"67","Private 4-year","1955",1134
"68","Private 2-year","1955",43
"69","Public 4-year","1956",1359
"70","Public 2-year","1956",298
"71","Private 4-year","1956",1212
"72","Private 2-year","1956",50
"73","Public 4-year","1963",2341
"74","Public 2-year","1963",740
"75","Private 4-year","1963",1588
