,2-year public,2-year private
1915-1916,19                 ,55                 
1921-1922,70                 ,137                
1925-1926,136                ,189                
1929-1930,178                ,258                
1933-1934,219                ,302                
1938-1939,258                ,317                
1947-1948,328                ,322                
1952-1953,327                ,267                
1956-1957,377                ,275                
1960-1961,405                ,273                
1964-1965,452                ,267                
1968-1969,739                ,254                
1972-1973,910                ,231                
1976-1977,905                ,188                
1980-1981,945                ,182                
1984-1985,935                ,186                
1988-1989,984                ,180                
1992-1993,1024              ,179                
1996-1997,1088              ,184                
1998-1999,1069              ,164                
2000-2001,1076              ,144                
2004-2005,1061              ,112                
2010-2011,978                ,87                  
2015-2016,910,107
2020-2021,835,85
